DFS - Arvore de busca a partir do vertice 1
Vertice	Pai	Nivel
485		1230	215
486		277	197
487		84	840
488		573	1042
489		660	681
490		1453	1638
491		134	310
492		1208	72
493		724	826
494		698	317
495		1846	1972
496		213	522
497		1465	281
498		761	175
499		1572	326
500		590	1054
501		1128	1280
502		915	1084
503		100	278
504		663	1344
505		782	753
506		907	429
507		208	1088
508		1621	1237
509		737	254
510		772	905
511		1710	1404
512		339	507
513		1102	513
514		1802	386
515		1323	1794
516		509	255
517		421	166
518		620	501
519		1355	1985
520		200	152
521		675	237
522		2361	1253
523		71	902
524		1600	1708
525		950	597
526		38	291
527		941	868
528		1778	442
529		1424	1320
530		1488	1116
531		1144	1954
532		154	1739
533		175	627
534		485	216
535		46	727
536		1029	224
537		75	118
538		278	323
539		431	364
540		665	130
541		379	837
542		1482	941
543		2264	618
544		329	552
545		1461	972
546		152	96
547		1274	991
548		550	1852
549		42	505
550		1891	1851
551		67	48
552		541	838
553		256	25
554		1264	1445
555		647	762
556		472	590
557		565	736
558		808	796
559		594	345
560		661	743
561		469	724
562		694	353
563		1063	532
564		687	33
565		638	735
566		527	869
567		486	198
568		3913	1798
569		40	220
570		1015	288
571		637	822
572		690	961
573		757	1041
574		951	306
575		977	857
576		266	536
577		373	678
578		774	690
579		842	819
580		1865	1424
581		3578	781
582		1566	1062
583		2559	1934
584		1056	764
585		2166	1145
586		87	404
587		2432	1457
588		1861	2294
589		420	116
590		159	1053
591		2090	1641
592		1067	1338
593		376	367
594		149	344
595		1797	946
596		756	607
597		340	250
598		1173	1397
599		558	797
600		1216	665
601		1789	1960
602		281	185
603		489	682
604		2189	1478
605		1935	1947
606		947	602
607		2623	1492
608		3020	2222
609		257	574
610		755	1030
611		136	567
612		2153	2147
613		3878	2335
614		249	1080
615		453	636
616		691	51
617		189	659
618		759	1848
619		2861	141
620		2073	500
621		1363	302
622		33	526
623		1114	164
624		129	1016
625		1723	1705
626		1497	1610
627		684	529
628		471	394
629		1398	1627
630		560	744
631		437	569
632		697	1234
633		344	409
634		117	559
635		31	203
636		2719	2583
637		1454	821
638		227	734
639		4416	1187
640		28	1517
641		1427	842
642		584	765
643		93	81
644		1219	1241
645		1726	1533
646		1146	487
647		927	761
648		1076	1207
649		763	882
650		481	380
651		1339	987
652		1501	1294
653		1539	1205
654		280	1666
655		752	74
656		2572	1646
657		607	1493
658		1379	852
659		658	853
660		695	680
661		1743	742
662		972	496
663		733	1343
664		1683	1178
665		142	129
666		235	382
667		168	544
668		903	722
669		729	915
670		674	698
671		2800	1678
672		1366	959
673		1518	582
674		209	697
675		1215	236
676		958	865
677		151	717
678		1030	642
679		2475	1996
680		944	605
681		1272	810
682		1046	1141
683		857	1172
684		22	528
685		305	653
686		1077	90
687		62	32
688		137	360
689		562	354
690		672	960
691		906	50
692		1740	1855
693		2818	2385
694		799	352
695		577	679
696		312	688
697		1057	1233
698		800	316
699		2078	1272
700		849	451
701		317	170
702		559	346
703		158	64
704		542	942
705		226	746
706		929	1455
707		894	613
708		999	759
709		447	233
710		676	866
711		1962	2765
712		140	392
713		1093	17
714		1759	1121
715		824	993
716		1186	2030
717		345	213
718		1350	1097
719		2493	30
720		2134	772
721		1933	1363
722		2093	1926
723		1901	453
724		1700	825
725		196	134
726		673	583
727		890	1069
728		1317	1369
729		1685	914
730		1532	1028
731		1179	675
732		1477	1467
733		1225	1342
734		7	106
735		96	476
736		172	880
737		747	253
738		2077	1440
739		1238	1161
740		2948	3026
741		55	93
742		2	517
743		556	591
744		1171	1216
745		384	1283
746		400	274
747		141	252
748		494	318
749		1211	339
750		438	547
751		1195	1150
752		492	73
753		932	462
754		2208	1886
755		730	1029
756		680	606
757		377	1040
758		3685	509
759		1706	1847
760		475	667
761		192	174
762		878	357
763		736	881
764		187	76
765		1809	1266
766		1825	1129
767		1579	434
768		1061	417
769		1967	1199
770		1147	1355
771		399	137
772		1113	904
773		247	168
774		696	689
775		2643	2228
776		326	1438
777		1330	669
778		2845	1225
779		571	823
780		449	700
781		2177	2306
782		2002	752
783		880	980
784		1163	1035
785		701	171
786		170	28
787		2676	1732
788		1467	948
789		831	247
790		1639	1221
791		723	454
792		1278	1008
793		1432	1018
794		1259	673
795		868	709
796		2396	1819
797		304	46
798		1484	1586
799		881	351
800		206	315
801		461	335
802		386	702
803		2246	2484
804		19	471
805		418	257
806		274	444
807		422	84
808		234	795
809		1959	2435
810		101	427
811		429	1261
812		1376	967
813		2601	2593
814		1563	1451
815		1184	1379
816		1098	1082
817		1970	1673
818		1038	438
819		2526	1791
820		4066	1874
821		1234	909
822		2279	420
823		855	1001
824		547	992
825		1249	1426
826		3341	1978
827		1078	712
828		64	1203
829		290	579
830		1810	520
831		1205	246
832		322	577
833		1101	1512
834		404	484
835		1823	1581
836		2436	2277
837		1598	1615
838		2156	1430
839		1021	298
840		1109	1631
841		1254	600
842		1438	818
843		409	814
844		596	608
845		1554	875
846		1382	1219
847		248	192
848		1910	1373
849		353	450
850		1844	1153
851		503	279
852		901	770
853		1433	1108
854		2876	1249
855		442	1000
856		792	1009
857		923	1171
858		120	241
859		2395	2015
860		2049	977
861		937	1420
862		106	511
863		1096	459
864		1996	1497
865		1903	807
866		2514	1712
867		2065	1359
868		364	708
869		66	332
870		986	955
871		1866	1274
872		1329	1025
873		1596	2783
874		949	1656
875		27	189
876		332	231
877		2103	2091
878		65	356
879		640	1518
880		1145	979
881		69	350
882		1335	1523
883		1152	1567
884		1172	1527
885		540	131
886		102	123
887		3141	149
888		1164	1383
889		664	1179
890		1354	1068
891		1295	1836
892		2106	706
893		167	1608
894		328	612
895		2716	1801
896		354	538
897		2111	1510
898		80	102
899		76	13
900		2096	2521
901		1435	769
902		777	670
903		436	721
904		258	398
905		2027	1720
906		551	49
907		810	428
908		853	1109
909		1662	1602
910		367	929
911		1812	984
912		204	276
913		1548	244
914		121	304
915		816	1083
916		974	1033
917		1674	1165
918		1457	1654
919		840	1632
920		3	402
921		341	1157
922		52	160
923		1018	1170
924		104	549
925		2677	1617
926		320	779
927		708	760
928		1733	1613
929		1555	1454
930		870	956
931		2785	2523
932		83	461
933		1503	1335
934		2767	1046
935		1642	1111
936		2277	2667
937		1218	1419
938		73	657
939		2256	1268
940		727	1070
941		710	867
942		3680	1278
943		1073	615
944		2390	604
945		2184	2235
946		599	798
947		841	601
948		1748	2620
949		918	1655
950		338	596
951		914	305
952		2906	1727
953		1156	921
954		1635	1155
955		428	588
956		865	808
957		2562	1951
958		50	864
959		116	157
960		1838	1192
961		2404	2519
962		1944	1291
963		1722	1529
964		1821	2057
965		1584	1620
966		2030	1725
967		2300	1906
968		633	410
969		1206	1699
970		309	793
971		788	949
972		185	495
973		1650	1634
974		1321	1032
975		245	265
976		2379	1716
977		1213	856
978		103	98
979		1623	372
980		1283	1091
981		2503	1210
982		1258	982
983		1529	1411
984		619	142
985		933	1336
986		1125	954
987		156	1417
988		1882	2111
989		1359	646
990		1696	1361
991		1976	492
992		480	731
993		981	1211
994		1889	432
995		2012	1596
996		35	207
997		645	1534
998		1947	1276
999		230	758
1000		820	1875
1001		1377	1520
1002		426	900
1003		1199	1113
1004		88	623
1005		279	1306
1006		163	655
1007		2320	1723
1008		59	62
1009		1201	1123
1010		2373	1878
1011		2232	3207
1012		2898	2009
1013		2674	832
1014		5092	3649
1015		1762	287
1016		2021	1993
1017		1689	2538
1018		2805	1169
1019		581	782
1020		125	648
1021		366	297
1022		1013	833
1023		1495	1381
1024		992	732
1025		1340	926
1026		718	1098
1027		61	1133
1028		1084	1771
1029		1568	223
1030		193	641
1031		1592	828
1032		1090	67
1033		47	630
1034		2496	3065
1035		56	422
1036		1873	1298
1037		244	446
1038		29	437
1039		2020	1746
1040		2054	1434
1041		1761	2023
1042		276	284
1043		1744	924
1044		1334	1049
1045		3469	2916
1046		2710	1140
1047		147	268
1048		15	885
1049		2688	1086
1050		3119	3371
1051		1127	515
1052		1091	1309
1053		1852	482
1054		704	943
1055		13	562
1056		555	763
1057		330	1232
1058		477	211
1059		864	1498
1060		1194	1422
1061		451	416
1062		963	1530
1063		1342	531
1064		844	609
1065		2209	1662
1066		812	968
1067		985	1337
1068		1850	638
1069		1608	1485
1070		2363	2082
1071		1315	1490
1072		1392	1287
1073		707	614
1074		563	533
1075		522	1254
1076		653	1206
1077		160	89
1078		16	711
1079		1074	534
1080		2113	892
1081		308	1194
1082		269	800
1083		2464	2246
1084		1757	1770
1085		131	104
1086		1607	2002
1087		533	628
1088		190	663
1089		315	572
1090		97	66
1091		2236	1308
1092		1316	456
1093		224	16
1094		92	406
1095		856	1010
1096		108	458
1097		371	1367
1098		614	1081
1099		2958	1759
1100		745	1284
1101		897	1511
1102		862	512
1103		671	1679
1104		1868	1104
1105		1066	969
1106		2080	1244
1107		2114	1893
1108		1993	776
1109		1362	1630
1110		2611	2285
1111		1732	1548
1112		1616	1898
1113		523	903
1114		430	163
1115		74	465
1116		1705	898
1117		1462	1623
1118		1738	1073
1119		26	342
1120		1273	871
1121		1593	1316
1122		402	989
1123		504	1345
1124		939	1269
1125		1632	953
1126		1660	2042
1127		513	514
1128		942	1279
1129		968	411
1130		2061	2183
1131		82	263
1132		1929	1575
1133		1055	563
1134		2746	1660
1135		770	1356
1136		456	1506
1137		2433	2503
1138		2841	2964
1139		1528	554
1140		468	1325
1141		1256	938
1142		238	1537
1143		529	1321
1144		1203	1953
1145		860	978
1146		166	486
1147		21	1354
1148		1149	1415
1149		1314	1414
1150		793	1019
1151		378	1059
1152		2424	1566
1153		383	684
1154		218	469
1155		2793	2446
1156		411	920
1157		1604	620
1158		1027	1134
1159		823	1002
1160		677	718
1161		980	1092
1162		821	910
1163		916	1034
1164		1023	1382
1165		1374	1982
1166		681	811
1167		4026	2599
1168		683	1173
1169		2825	3503
1170		2071	2219
1171		2755	1215
1172		1413	1526
1173		2796	1396
1174		2685	963
1175		3349	2159
1176		1352	1318
1177		1980	2409
1178		1384	2069
1179		794	674
1180		1730	1749
1181		817	1674
1182		2227	1546
1183		3363	1908
1184		1884	1378
1185		2009	974
1186		1879	2029
1187		1143	1322
1188		1054	944
1189		940	1071
1190		635	204
1191		604	1479
1192		705	747
1193		2967	1386
1194		861	1421
1195		1458	1149
1196		2003	2996
1197		1590	2101
1198		1106	1245
1199		935	1112
1200		1995	1599
1201		714	1122
1202		2095	1327
1203		957	1952
1204		1890	2059
1205		913	245
1206		2191	1698
1207		1806	1974
1208		270	71
1209		924	550
1210		2150	1690
1211		145	338
1212		2636	2137
1213		272	855
1214		1159	1003
1215		10	235
1216		1088	664
1217		1880	585
1218		987	1418
1219		2521	1240
1220		829	580
1221		2014	1464
1222		3048	1376
1223		688	361
1224		2110	1729
1225		1694	1341
1226		3368	1940
1227		2051	1920
1228		639	1188
1229		2086	1694
1230		717	214
1231		1052	1310
1232		744	1217
1233		511	1405
1234		90	908
1235		1954	2150
1236		2348	2061
1237		4143	2642
1238		2563	1160
1239		126	320
1240		530	1117
1241		598	1398
1242		1290	935
1243		1615	1918
1244		649	883
1245		1824	1175
1246		1878	2606
1247		1605	862
1248		2342	2396
1249		580	1425
1250		1009	1124
1251		223	2064
1252		1860	2371
1253		454	1686
1254		1570	599
1255		2183	850
1256		1707	937
1257		1911	1514
1258		783	981
1259		107	672
1260		1022	834
1261		1026	1099
1262		2618	2546
1263		4232	3781
1264		1772	1444
1265		287	540
1266		183	1065
1267		991	493
1268		1126	2043
1269		1405	1183
1270		2421	1805
1271		1153	685
1272		956	809
1273		566	870
1274		1122	990
1275		1668	1786
1276		1223	362
1277		1380	1980
1278		1979	1007
1279		2517	1181
1280		3279	2290
1281		479	1106
1282		1940	1350
1283		1297	1090
1284		462	845
1285		1449	1230
1286		1887	2438
1287		518	502
1288		300	57
1289		4372	1824
1290		459	934
1291		1327	1937
1292		1780	108
1293		667	545
1294		2145	873
1295		1422	1835
